,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Mario Tennis Aces - Nintendo Switch - Factory Sealed! Free Shipping!,3.1622776601683795,3.1622776601683795,3.3166247903554,2.449489742783178,3.605551275463989,3.605551275463989,3.1622776601683795,3.4641016151377544,3.1622776601683795,3.3166247903554
New Super Mario Bros. U Deluxe - Nintendo Switch,2.449489742783178,2.449489742783178,3.0,2.8284271247461903,3.3166247903554,2.6457513110645907,2.449489742783178,1.4142135623730951,2.8284271247461903,3.0
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
"Mario Tennis Aces (Nintendo Switch, 2018)",2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
New Super Mario Bros. U Deluxe Switch New In Stock,3.1622776601683795,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.3166247903554,3.1622776601683795,2.0,3.4641016151377544,3.605551275463989
Mario Kart 8 Deluxe and Donkey Kong Video Games for Nintendo Switch,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
"SUPER MARIO ODYSSEY (NINTENDO SWITCH) REPLACEMENT CASE, NO GAME",3.1622776601683795,2.449489742783178,3.3166247903554,3.1622776601683795,3.605551275463989,3.3166247903554,2.8284271247461903,3.1622776601683795,3.1622776601683795,3.3166247903554
"Mario Kart 8 Deluxe Nintendo Switch, 2017 Video Game W/ Case & Artwork Super",2.8284271247461903,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.605551275463989,3.1622776601683795,3.1622776601683795,3.4641016151377544,3.605551275463989
"Mario Kart 8 Deluxe (Nintendo Switch, 2017) Tested - Awesome Game!",2.449489742783178,3.1622776601683795,3.3166247903554,3.1622776601683795,3.605551275463989,3.605551275463989,3.1622776601683795,3.1622776601683795,3.1622776601683795,3.3166247903554
"Mario + Rabbids Kingdom Battle (Nintendo Switch, 2017)",2.8284271247461903,2.8284271247461903,1.7320508075688772,2.8284271247461903,3.3166247903554,3.3166247903554,2.8284271247461903,3.1622776601683795,2.8284271247461903,3.0
Mario Kart 8 Deluxe Nintendo Switch Open Box,2.0,2.8284271247461903,3.0,2.8284271247461903,3.3166247903554,3.3166247903554,2.8284271247461903,2.8284271247461903,2.8284271247461903,3.0
"Super Mario Odyssey - Nintendo Switch,Fast Free Shipping!!",3.0,2.23606797749979,3.1622776601683795,3.0,3.4641016151377544,3.1622776601683795,2.6457513110645907,3.0,3.0,3.1622776601683795
Super Mario Party - Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Mario + Rabbids Kingdom Battle for Nintendo Switch NS and - NEW FACTORY SEALED,3.605551275463989,3.605551275463989,2.8284271247461903,3.605551275463989,4.0,4.0,3.605551275463989,3.605551275463989,3.605551275463989,3.7416573867739413
Minecraft (Nintendo Switch) Super Mario Mash Up Brand New Factory Sealed,3.4641016151377544,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.605551275463989,3.1622776601683795,3.1622776601683795,3.4641016151377544,3.605551275463989
Super Mario Party - Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
"Super Mario Odyssey (Nintendo Switch, 2017) Game NEW Free Shipping",3.3166247903554,2.6457513110645907,3.4641016151377544,3.3166247903554,3.7416573867739413,3.4641016151377544,3.0,3.0,3.3166247903554,3.4641016151377544
2017 Super Mario Odyssey Nintendo Switch Video Game Used,3.1622776601683795,2.449489742783178,3.3166247903554,3.1622776601683795,3.605551275463989,3.3166247903554,2.8284271247461903,3.1622776601683795,3.1622776601683795,3.3166247903554
Super Mario Party - Nintendo Switch 3,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Mario Kart 8 Deluxe (Nintendo Switch) *Brand New/ Sealed*,2.23606797749979,3.0,3.1622776601683795,3.0,3.4641016151377544,3.4641016151377544,3.0,2.6457513110645907,3.0,3.1622776601683795
NEW MARIO + RABBIDS KINGDOM BATTLE NINTENDO SWITCH SEALED USA SELLER FAST SHIP!,3.605551275463989,3.605551275463989,2.8284271247461903,3.605551275463989,4.0,4.0,3.605551275463989,3.605551275463989,3.605551275463989,3.7416573867739413
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
Switch Mario Kart 8 Deluxe Steelbook Brand New Sealed Promotional No Game,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.1622776601683795,3.4641016151377544,3.605551275463989
NINTENDO SWITCH Mario Tennis Aces - Brand New game,3.0,3.0,3.1622776601683795,2.23606797749979,3.4641016151377544,3.4641016151377544,3.0,3.0,3.0,3.1622776601683795
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
"MARIO KART 8 DELUXE (NINTENDO SWITCH) REPLACEMENT CASE, NO GAME",2.449489742783178,3.1622776601683795,3.3166247903554,3.1622776601683795,3.605551275463989,3.605551275463989,3.1622776601683795,3.1622776601683795,3.1622776601683795,3.3166247903554
"Mario Tennis Aces (Nintendo Switch, 2018)",2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
"Mario Kart 8 Deluxe (Nintendo Switch, 2017) BRAND NEW / Region Free",2.6457513110645907,3.3166247903554,3.4641016151377544,3.3166247903554,3.7416573867739413,3.7416573867739413,3.3166247903554,3.0,3.3166247903554,3.4641016151377544
